iter	Passed	Remaining
0	131	131227
1	133	66661
2	136	45493
3	141	35338
4	144	28816
5	146	24324
6	149	21157
7	153	19054
8	160	17654
9	162	16125
10	164	14822
11	166	13711
12	173	13200
13	176	12396
14	178	11689
15	180	11119
16	182	10575
17	188	10277
18	191	9865
19	193	9465
20	195	9115
21	197	8772
22	198	8446
23	203	8288
24	208	8132
25	210	7877
26	212	7645
27	213	7417
28	216	7249
29	219	7105
30	222	6946
31	223	6769
32	228	6706
33	232	6595
34	240	6644
35	243	6516
36	245	6387
37	261	6607
38	267	6596
39	271	6505
40	274	6411
41	276	6299
42	279	6217
43	284	6171
44	288	6115
45	290	6033
46	292	5935
47	298	5914
48	300	5834
49	302	5750
50	305	5686
51	307	5612
52	319	5707
53	335	5886
54	337	5807
55	348	5872
56	350	5803
57	352	5728
58	354	5654
59	356	5586
60	364	5603
61	365	5535
62	367	5467
63	369	5401
64	371	5338
65	374	5300
66	380	5305
67	383	5258
68	385	5200
69	387	5146
70	390	5107
71	399	5150
72	401	5097
73	403	5044
74	407	5028
75	410	4993
76	412	4943
77	414	4899
78	416	4855
79	426	4901
80	428	4859
81	430	4817
82	431	4764
83	440	4798
84	443	4770
85	445	4730
86	447	4692
87	450	4665
88	456	4674
89	459	4644
90	461	4608
91	463	4574
92	468	4570
93	475	4583
94	477	4549
95	479	4512
96	488	4545
97	490	4510
98	491	4474
99	493	4441
100	495	4410
101	502	4426
102	504	4395
103	506	4362
104	508	4330
105	509	4297
106	514	4292
107	521	4304
108	523	4276
109	525	4249
110	527	4222
111	529	4199
112	531	4169
113	533	4143
114	534	4114
115	540	4117
116	541	4087
117	543	4060
118	545	4036
119	547	4012
120	554	4025
121	555	4001
122	557	3978
123	559	3952
124	561	3930
125	566	3929
126	571	3925
127	573	3904
128	574	3880
129	578	3871
130	588	3904
131	590	3880
132	591	3857
133	602	3896
134	605	3877
135	607	3856
136	614	3870
137	620	3872
138	621	3852
139	623	3831
140	625	3810
141	626	3784
142	629	3774
143	633	3767
144	635	3746
145	638	3734
146	642	3727
147	646	3719
148	648	3702
149	649	3682
150	651	3663
151	653	3645
152	655	3626
153	664	3651
154	666	3633
155	668	3614
156	670	3600
157	680	3626
158	682	3607
159	683	3589
160	684	3567
161	686	3550
162	693	3561
163	695	3546
164	697	3531
165	699	3515
166	706	3522
167	709	3514
168	712	3501
169	714	3487
170	717	3476
171	720	3468
172	722	3454
173	724	3438
174	725	3422
175	727	3406
176	729	3389
177	730	3373
178	732	3357
179	735	3349
180	738	3339
181	742	3337
182	745	3330
183	748	3317
184	752	3314
185	755	3304
186	757	3294
187	760	3283
188	762	3271
189	769	3281
190	772	3273
191	777	3271
192	780	3264
193	783	3253
194	784	3239
195	786	3225
196	787	3210
197	794	3220
198	800	3222
199	802	3211
200	804	3198
201	806	3184
202	810	3183
203	814	3176
204	815	3164
205	817	3151
206	819	3137
207	820	3124
208	822	3112
209	829	3118
210	830	3106
211	832	3095
212	834	3084
213	836	3072
214	843	3080
215	846	3070
216	848	3060
217	850	3050
218	852	3039
219	853	3027
220	862	3039
221	864	3029
222	867	3023
223	869	3013
224	873	3008
225	875	2999
226	878	2990
227	880	2980
228	882	2970
229	888	2975
230	892	2970
231	894	2961
232	896	2951
233	903	2958
234	906	2950
235	909	2945
236	912	2936
237	918	2939
238	920	2931
239	922	2920
240	923	2909
241	925	2899
242	932	2904
243	936	2900
244	939	2896
245	941	2885
246	943	2876
247	946	2870
248	948	2860
249	950	2850
250	951	2840
251	953	2829
252	954	2818
253	956	2808
254	957	2798
255	961	2793
256	966	2793
257	968	2785
258	970	2776
259	972	2767
260	986	2793
261	988	2785
262	991	2779
263	993	2770
264	995	2761
265	1004	2771
266	1006	2764
267	1011	2763
268	1013	2755
269	1016	2747
270	1018	2739
271	1020	2730
272	1023	2724
273	1025	2718
274	1028	2712
275	1031	2705
276	1035	2701
277	1037	2695
278	1042	2694
279	1046	2690
280	1047	2681
281	1049	2672
282	1051	2662
283	1058	2668
